港澳台及其他频道,#genre#
青海卫视,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
新疆卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
西藏卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/6603041244077933770/1.m3u8
兵团卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
延边卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
安多卫视,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
厦门卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000266006/1.m3u8
康巴卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
大湾区卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/index.m3u8
CETV-1,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://[2409:8087:1a0b:df::4013]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8






体育台,#genre#
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8
五星体育,https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000
纬来体育,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8585/.m3u8
精品体育,http://[2409:8087:1a0b:df::4004]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
哒啵赛事,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8


数字频道,#genre#
纪实人文,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
纪实科教,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
乐游频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031112/1.m3u8
欢笑剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000002000009455/1.m3u8
都市剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031111/1.m3u8
金色学堂,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000026105/1.m3u8
卡酷少儿,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
金鹰卡通,http://[2409:8087:1a0b:df::4008]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
金鹰纪实,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031203/1.m3u8
快乐垂钓,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031206/1.m3u8
茶友频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031209/1.m3u8
游戏风云,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031114/1.m3u8
动漫秀场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031113/1.m3u8
嘉佳卡通,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000025964/1.m3u8
哒啵赛事,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
优漫卡通,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
哈哈炫动,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
黑莓动画,http://[2409:8087:1a0b:df::4006]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
超级体育,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级视剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
海外剧场,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
中国功夫,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
军旅剧场,http://[2409:8087:1a0b:df::4018]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
惊悚悬疑,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
潮妈辣婆,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
精品纪录,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
家庭剧场,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
精品大剧,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
军事评论,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
明星大片,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
精品萌宠,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
超级综艺,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
金牌综艺,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8


电影,#genre#
粤语电影,http://openhls-tct.douyucdn2.cn/dyliveflv3/1226741r3fmmEOb7_2000.flv?txSecret=6f9e71aecd89c6fbddc83221b77d0867&txTime=66d733a9&token=h5-douyu-0-1226741-20f4e18be5355ec7dd53600dfcb6ea5d&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=397423057
粤语电影（珍珠奶茶）,http://openhls-tct.douyucdn2.cn/dyliveflv3a/6566671rB5KtQAoH_2000.flv?txSecret=2feca02b820056dbfbce5c35f1d6178d&txTime=66d73410&token=h5-douyu-0-6566671-d02bd51866e28ff19708af8d56d21bf5&did=10000000000000000000000000001501&origin=tct&vhost=play4&sid=398585300
粤语电影（小粤儿）,http://openhls-tct.douyucdn2.cn/dyliveflv3a/5033502riwRiD8xH_2000.flv?txSecret=fd0a33da1139c55ca473542b2751330c&txTime=66d73433&token=h5-douyu-0-5033502-5430ed97f1e2b4e15eac599d87911f5c&did=10000000000000000000000000001501&origin=tct&vhost=play4&sid=399028191
周星驰电影（进击D神乐),http://openhls-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?txSecret=e8c638694d0580b3df9ee36dbce93faf&txTime=66d73468&token=h5-douyu-0-122402-6b9ca8f2228df4c6e8a639b5c52dcfb1&did=10000000000000000000000000001501&origin=tct&vhost=play1&sid=398585316
僵尸恐怖(小毅),http://openhls-tct.douyucdn2.cn/dyliveflv3/6906628rPBA8TKn9_2000.flv?txSecret=ab247c2a96194938a6bfd5c10795402f&txTime=66d7349a&token=h5-douyu-0-6906628-9fae38010c9004b1e067fd693300efcd&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=399032322
僵尸恐怖(奇光),http://openhls-tct.douyucdn2.cn/dyliveflv3/8009547r6Lj0K41s_2000.flv?txSecret=f858d952148b13bb7634e1a267c0cee9&txTime=66d734b9&token=h5-douyu-0-8009547-2beef391d9bed50f8804902c2f55c5cb&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=398656773
恐怖电影(久了旧知),http://openhls-tct.douyucdn2.cn/dyliveflv3/310926rt3KqXpuvk_2000.flv?txSecret=e3ebb0a60a0a21ece11464ccb0ca688d&txTime=66d735b1&token=h5-douyu-0-310926-39619667b4bdf6ac1e2144dfc012600f&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=399123204
随机电影(鱼的左手),http://openhls-tct.douyucdn2.cn/dyliveflv3/8107217rteMsVFtM_2000.flv?txSecret=ebb19e3d42dcd78d420607063b23f99c&txTime=66d735da&token=h5-douyu-0-8107217-7e7514fb8591145d34713e522ad50d66&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=399120424
随机电影（UnaDirezione）,http://openhls-tct.douyucdn2.cn/dyliveflv1/218859r2J9tVyxe5_2000.m3u8?txSecret=4d12a6b88d021fa75f71fcf074e31160&txTime=66d735f9&token=h5-douyu-0-218859-6db8e151d8ee5dac7bfaa4b053a9eca3&did=10000000000000000000000000001501&origin=tct&vhost=play1&sid=398587761
黑莓电影,http://[2409:8087:1a0b:df::4014]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8

测试,#genre#
测试翡翠,
测试翡翠,
测试民视,
测试民视,
测试4,
测试5,
测试6,
测试7,
测试8,
测试9,
测试10,
测试11,
